date,ticker,F_debt,stock_price,shares,Tbill
2022-12-30,AMD,557.5,64.77,1612.356,4.68
2018-01-31,CMCSA,33263,42.53,4635.064,1.8
2018-02-28,CMCSA,33263,36.21,4635.064,1.96
2018-03-29,CMCSA,33263,34.17,4607.672,2.06
2018-04-30,CMCSA,34845,31.39,4592.196,2.15
2018-05-31,CMCSA,34845,31.18,4592.196,2.27
2018-06-29,CMCSA,34845,32.81,4572.489,2.33
2018-07-31,CMCSA,34845,35.78,4572.489,2.39
2018-08-31,CMCSA,34845,36.99,4572.489,2.45
2018-09-28,CMCSA,34845,35.41,4540.06,2.56
2018-10-31,CMCSA,34845,38.14,4540.06,2.65
2018-11-30,CMCSA,34845,39.01,4540.06,2.7
2018-12-31,CMCSA,34845,34.05,4516.518,2.66
2019-01-31,CMCSA,34845,36.57,4516.518,2.58
2019-02-28,CMCSA,34845,38.67,4516.518,2.55
2019-03-29,CMCSA,34845,39.98,4529.071,2.49
2019-04-30,CMCSA,58070.5,43.53,4529.347,2.42
2019-05-31,CMCSA,58070.5,41,4529.347,2.34
2019-06-28,CMCSA,58070.5,42.28,4535.541,2
2019-07-31,CMCSA,58070.5,43.17,4535.541,1.96
2019-08-30,CMCSA,58070.5,44.26,4535.541,1.77
2019-09-30,CMCSA,58070.5,45.08,4539.806,1.8
2019-10-31,CMCSA,58070.5,44.82,4539.806,1.61
2019-11-29,CMCSA,58070.5,44.15,4539.806,1.57
2019-12-31,CMCSA,58070.5,44.97,4543.59,1.55
2020-01-31,CMCSA,58070.5,43.19,4543.59,1.53
2020-02-28,CMCSA,58070.5,40.43,4543.59,1.41
2020-03-31,CMCSA,58578,34.38,4554.649,0.33
2020-04-30,CMCSA,58578,37.63,4554.713,0.18
2020-05-29,CMCSA,58578,39.6,4554.713,0.16
2020-06-30,CMCSA,58578,38.98,4558.656,0.18
2020-07-31,CMCSA,58578,42.8,4558.656,0.15
2020-08-31,CMCSA,58578,44.81,4558.656,0.13
2020-09-30,CMCSA,58578,46.26,4565.879,0.13
2020-10-30,CMCSA,58578,42.24,4565.879,0.13
2020-11-30,CMCSA,58578,50.24,4565.879,0.12
2020-12-31,CMCSA,58578,52.4,4571.212,0.1
2021-01-29,CMCSA,58578,49.57,4571.212,0.1
2021-02-26,CMCSA,58578,52.72,4571.212,0.07
2021-03-31,CMCSA,58625,54.11,4584.572,0.08
2021-04-30,CMCSA,58625,56.15,4584.845,0.06
2021-05-28,CMCSA,58625,57.34,4584.845,0.05
2021-06-30,CMCSA,58625,57.02,4580.293,0.07
2021-07-30,CMCSA,58625,58.83,4580.293,0.08
2021-08-31,CMCSA,58625,60.68,4580.293,0.07
2021-09-30,CMCSA,58625,55.93,4559.479,0.08
2021-10-29,CMCSA,58625,51.43,4559.479,0.11
2021-11-30,CMCSA,58625,49.98,4559.479,0.18
2021-12-31,CMCSA,58625,50.33,4523.786,0.3
2022-01-31,CMCSA,58625,49.99,4523.786,0.55
2022-02-28,CMCSA,58625,46.76,4523.786,1
2022-03-31,CMCSA,55078.5,46.82,4471.872,1.34
2022-04-29,CMCSA,55078.5,39.76,4470.57,1.89
2022-05-31,CMCSA,55078.5,44.28,4470.57,2.06
2022-06-30,CMCSA,55078.5,39.24,4403.794,2.65
2022-07-29,CMCSA,55078.5,37.52,4403.794,3.02
2022-08-31,CMCSA,55078.5,36.19,4403.794,3.28
2022-09-30,CMCSA,55078.5,29.33,4313.964,3.89
2022-10-31,CMCSA,55078.5,31.74,4313.964,4.43
2022-11-30,CMCSA,55078.5,36.64,4313.964,4.73
2022-12-30,CMCSA,55078.5,34.97,4313.964,4.68
2018-01-31,CVS,14723.5,78.69,1012.992,1.8
2018-02-28,CVS,14723.5,67.73,1014.532,1.96
2018-03-29,CVS,14723.5,62.21,1015.461,2.06
2018-04-30,CVS,15911.5,69.83,1017.521,2.15
2018-05-31,CVS,15911.5,63.39,1016.646,2.27
2018-06-29,CVS,15911.5,64.35,1016.646,2.33
2018-07-31,CVS,15911.5,64.86,1016.646,2.39
2018-08-31,CVS,15911.5,75.24,1018.064,2.45
2018-09-28,CVS,15911.5,78.72,1018.064,2.56
2018-10-31,CVS,15911.5,72.39,1018.064,2.65
2018-11-30,CVS,15911.5,80.2,1293.199,2.7
2018-12-31,CVS,15911.5,65.52,1293.199,2.66
2019-01-31,CVS,15911.5,65.55,1293.199,2.58
2019-02-28,CVS,15911.5,57.83,1297.082,2.55
2019-03-29,CVS,15911.5,53.93,1297.082,2.49
2019-04-30,CVS,37707,54.38,1298.405,2.42
2019-05-31,CVS,37707,52.37,1299.092,2.34
2019-06-28,CVS,37707,54.49,1299.092,2
2019-07-31,CVS,37707,55.87,1299.092,1.96
2019-08-30,CVS,37707,60.92,1300.497,1.77
2019-09-30,CVS,37707,63.07,1300.497,1.8
2019-10-31,CVS,37707,66.39,1300.497,1.61
2019-11-29,CVS,37707,75.27,1300.964,1.57
2019-12-31,CVS,37707,74.29,1300.964,1.55
2020-01-31,CVS,37707,67.82,1300.964,1.53
2020-02-28,CVS,37707,59.18,1304.16,1.41
2020-03-31,CVS,47189.5,59.33,1304.16,0.33
2020-04-30,CVS,47189.5,61.55,1305.592,0.18
2020-05-29,CVS,47189.5,65.57,1307.091,0.16
2020-06-30,CVS,47189.5,64.97,1307.091,0.18
2020-07-31,CVS,47189.5,62.94,1307.091,0.15
2020-08-31,CVS,47189.5,62.12,1308.703,0.13
2020-09-30,CVS,47189.5,58.4,1308.703,0.13
2020-10-30,CVS,47189.5,56.09,1308.703,0.13
2020-11-30,CVS,47189.5,67.79,1308.913,0.12
2020-12-31,CVS,47189.5,68.3,1308.913,0.1
2021-01-29,CVS,47189.5,71.65,1308.913,0.1
2021-02-26,CVS,47189.5,68.13,1311.355,0.07
2021-03-31,CVS,46060,75.23,1311.355,0.08
2021-04-30,CVS,46060,76.4,1312.519,0.06
2021-05-28,CVS,46060,86.44,1316.568,0.05
2021-06-30,CVS,46060,83.44,1316.568,0.07
2021-07-30,CVS,46060,82.36,1316.568,0.08
2021-08-31,CVS,46060,86.39,1319.575,0.07
2021-09-30,CVS,46060,84.86,1319.575,0.08
2021-10-29,CVS,46060,89.28,1319.575,0.11
2021-11-30,CVS,46060,89.06,1320.059,0.18
2021-12-31,CVS,46060,103.16,1320.059,0.3
2022-01-31,CVS,46060,106.51,1320.059,0.55
2022-02-28,CVS,46060,103.65,1312.51,1
2022-03-31,CVS,40925,101.21,1312.51,1.34
2022-04-29,CVS,40925,96.13,1313.194,1.89
2022-05-31,CVS,40925,96.75,1311.309,2.06
2022-06-30,CVS,40925,92.66,1311.309,2.65
2022-07-29,CVS,40925,95.68,1311.309,3.02
2022-08-31,CVS,40925,98.15,1312.829,3.28
2022-09-30,CVS,40925,95.37,1312.829,3.89
2022-10-31,CVS,40925,94.7,1312.829,4.43
2022-11-30,CVS,40925,101.88,1313.967,4.73
2022-12-30,CVS,40925,93.19,1313.967,4.68
2018-01-31,LMT,7141,354.85001,286.734,1.8
2018-02-28,LMT,7141,352.44,285.571,1.96
2018-03-29,LMT,7141,337.92999,285.824,2.06
2018-04-30,LMT,7506.5,320.84,285.529,2.15
